Source,Target,Type,Id,Label,Weight
0,3630,Undirected,715866,,1
0,4634,Undirected,715867,,1
0,5187,Undirected,715868,,1
0,3428,Undirected,715869,,1
0,928,Undirected,715870,,1
0,6303,Undirected,715871,,1
0,1703,Undirected,715872,,1
0,3914,Undirected,715873,,1
0,448,Undirected,715874,,1
0,1441,Undirected,715875,,1
0,449,Undirected,715876,,1
0,629,Undirected,715877,,1
0,3234,Undirected,715878,,1
0,4467,Undirected,715879,,1
0,1047,Undirected,715880,,1
0,5724,Undirected,715881,,1
0,6458,Undirected,715882,,1
0,2916,Undirected,715883,,1
0,1745,Undirected,715884,,1
0,1258,Undirected,715885,,1
0,4211,Undirected,715886,,1
0,2156,Undirected,715887,,1
0,557,Undirected,715888,,1
0,2101,Undirected,715889,,1
0,2497,Undirected,715890,,1
0,1743,Undirected,715891,,1
0,4449,Undirected,715892,,1
0,5019,Undirected,715893,,1
0,4244,Undirected,715894,,1
0,5638,Undirected,715895,,1
0,378,Undirected,715896,,1
0,2337,Undirected,715897,,1
0,2213,Undirected,715898,,1
0,1947,Undirected,715899,,1
0,1715,Undirected,715900,,1
0,6047,Undirected,715901,,1
0,4065,Undirected,715902,,1
0,3037,Undirected,715903,,1
0,5416,Undirected,715904,,1
0,1837,Undirected,715905,,1
0,1173,Undirected,715906,,1
0,5921,Undirected,715907,,1
0,6385,Undirected,715908,,1
0,5589,Undirected,715909,,1
0,5335,Undirected,715910,,1
0,772,Undirected,715911,,1
0,2933,Undirected,715912,,1
0,1988,Undirected,715913,,1
0,5650,Undirected,715914,,1
0,6231,Undirected,715915,,1
0,6639,Undirected,715916,,1
0,806,Undirected,715917,,1
0,4863,Undirected,715918,,1
0,4403,Undirected,715919,,1
0,6792,Undirected,715920,,1
0,2807,Undirected,715921,,1
0,2318,Undirected,715922,,1
0,2180,Undirected,715923,,1
0,4637,Undirected,715924,,1
0,875,Undirected,715925,,1
0,5340,Undirected,715926,,1
0,4046,Undirected,715927,,1
0,3595,Undirected,715928,,1
0,1324,Undirected,715929,,1
0,2170,Undirected,715930,,1
0,6357,Undirected,715931,,1
0,528,Undirected,715932,,1
0,5571,Undirected,715933,,1
0,5627,Undirected,715934,,1
0,1874,Undirected,715935,,1
0,1145,Undirected,715936,,1
1,6872,Undirected,715937,,1
1,3399,Undirected,715938,,1
1,5600,Undirected,715939,,1
1,5320,Undirected,715940,,1
1,3141,Undirected,715941,,1
1,1629,Undirected,715942,,1
1,5352,Undirected,715943,,1
1,2044,Undirected,715944,,1
1,686,Undirected,715945,,1
1,7034,Undirected,715946,,1
1,6540,Undirected,715947,,1
1,3185,Undirected,715948,,1
1,2416,Undirected,715949,,1
1,5514,Undirected,715950,,1
1,6615,Undirected,715951,,1
1,6777,Undirected,715952,,1
1,3583,Undirected,715953,,1
1,2109,Undirected,715954,,1
1,4290,Undirected,715955,,1
1,2927,Undirected,715956,,1
1,2344,Undirected,715957,,1
1,5876,Undirected,715958,,1
1,7016,Undirected,715959,,1
1,4028,Undirected,715960,,1
1,6260,Undirected,715961,,1
1,1781,Undirected,715962,,1
1,4458,Undirected,715963,,1
1,3899,Undirected,715964,,1
1,5046,Undirected,715965,,1
1,3325,Undirected,715966,,1
1,6894,Undirected,715967,,1
1,6493,Undirected,715968,,1
1,3046,Undirected,715969,,1
1,6647,Undirected,715970,,1
1,6992,Undirected,715971,,1
2,2351,Undirected,715972,,1
2,1026,Undirected,715973,,1
